[ClickButtonLog] [2021-08-17T12:39:10.3872136] Clicked: 94242, new: false
[ClickButtonLog] [2021-08-17T12:39:12.1898604] Clicked: 9157, new: false
[ClickButtonLog] [2021-08-17T12:39:13.3909506] Clicked: 9157, new: false
[ClickButtonLog] [2021-08-17T12:39:14.5920504] Clicked: 9157, new: false
[ClickButtonLog] [2021-08-17T12:39:38.6409516] Clicked: 94100, new: false
[ClickButtonLog] [2021-08-17T12:39:41.0476414] Clicked: 94106, new: false
[ClickButtonLog] [2021-08-17T12:39:41.6481865] Clicked: 94112, new: false
[ClickButtonLog] [2021-08-17T12:39:42.2482366] Clicked: 94118, new: false
[ClickButtonLog] [2021-08-17T12:48:18.1683278] Clicked: 250002, new: false
[ClickButtonLog] [2021-08-17T12:48:33.2094867] Clicked: 9167, new: false
[ClickButtonLog] [2021-08-17T12:48:35.6116836] Clicked: 9169, new: false
[ClickButtonLog] [2021-08-17T12:48:35.6116836] Clicked: 9168, new: false
[ClickButtonLog] [2021-08-17T12:48:39.217957] Clicked: 1017, new: false
[ClickButtonLog] [2021-08-17T12:49:15.2797917] Clicked: 130133, new: false
[ClickButtonLog] [2021-08-17T12:49:26.1151684] Clicked: 250002, new: false
[ClickButtonLog] [2021-08-17T12:49:34.5278144] Clicked: 130133, new: false
[ClickButtonLog] [2021-08-17T12:49:36.331452] Clicked: 9167, new: false
[ClickButtonLog] [2021-08-17T12:49:37.5345436] Clicked: 130131, new: false
[ClickButtonLog] [2021-08-17T12:50:29.2275459] Clicked: 166007, new: false
[ClickButtonLog] [2021-08-17T12:50:29.8280913] Clicked: 166008, new: false
[ClickButtonLog] [2021-08-17T12:50:29.8280913] Clicked: 166009, new: false
[ClickButtonLog] [2021-08-17T12:50:32.2297768] Clicked: 162080, new: false
[ClickButtonLog] [2021-08-17T12:50:32.8303219] Clicked: 166056, new: false
[ClickButtonLog] [2021-08-17T12:50:33.4313719] Clicked: 162080, new: false
[ClickButtonLog] [2021-08-17T12:50:38.8388006] Clicked: 166006, new: false
[ClickButtonLog] [2021-08-17T12:50:40.0398906] Clicked: 166028, new: false
[ClickButtonLog] [2021-08-17T12:50:58.0722807] Clicked: 166013, new: false
[ClickButtonLog] [2021-08-17T12:51:09.4931521] Clicked: 166009, new: false
[ClickButtonLog] [2021-08-17T12:51:10.0936975] Clicked: 166008, new: false
[ClickButtonLog] [2021-08-17T12:51:10.0936975] Clicked: 166007, new: false
[ClickButtonLog] [2021-08-17T12:51:10.6942423] Clicked: 166008, new: false
[ClickButtonLog] [2021-08-17T12:51:11.2947876] Clicked: 166048, new: false
[ClickButtonLog] [2021-08-17T12:51:12.5083942] Clicked: 209054, new: false
[ClickButtonLog] [2021-08-17T12:51:14.3135381] Clicked: 209110, new: false
[ClickButtonLog] [2021-08-17T12:51:14.9156015] Clicked: 209108, new: false
[ClickButtonLog] [2021-08-17T12:51:16.1196947] Clicked: 209110, new: false
