[ClickObjectLog] [2021-08-17T12:39:27.2125466] Clicked object WorldObject{x=3094, y=3505, height=0, id=2996, type=10, face=2} option 1
[ClickObjectLog] [2021-08-17T12:39:29.0211883] Clicked object WorldObject{x=3091, y=3505, height=0, id=30720, type=10, face=0} option 1
[ClickObjectLog] [2021-08-17T12:39:31.4253832] Clicked object WorldObject{x=3094, y=3505, height=0, id=2996, type=10, face=2} option 1
[ClickObjectLog] [2021-08-17T12:48:20.5845211] Clicked object WorldObject{x=3084, y=3513, height=0, id=4483, type=10, face=2} option 1
[ClickObjectLog] [2021-08-17T12:48:30.8053044] Clicked object WorldObject{x=3080, y=3512, height=0, id=7127, type=11, face=0} option 1
[ClickObjectLog] [2021-08-17T12:48:36.8127738] Clicked object WorldObject{x=3079, y=3509, height=0, id=31622, type=10, face=3} option 1
[ClickObjectLog] [2021-08-17T12:48:50.6333286] Clicked object WorldObject{x=3323, y=4942, height=0, id=26738, type=10, face=0} option 1
[ClickObjectLog] [2021-08-17T12:49:02.0492259] Clicked object WorldObject{x=3075, y=3502, height=0, id=12768, type=10, face=2} option 1
[ClickObjectLog] [2021-08-17T12:49:03.8508868] Clicked object WorldObject{x=3074, y=3502, height=0, id=30087, type=10, face=2} option 1
[ClickObjectLog] [2021-08-17T12:49:06.8556297] Clicked object WorldObject{x=3074, y=3495, height=0, id=33320, type=10, face=1} option 1
[ClickObjectLog] [2021-08-17T12:49:17.0849486] Clicked object WorldObject{x=3074, y=3495, height=0, id=33320, type=10, face=1} option 2
[ClickObjectLog] [2021-08-17T12:49:31.5205795] Clicked object WorldObject{x=3074, y=3495, height=0, id=33320, type=10, face=1} option 1
[ClickObjectLog] [2021-08-17T12:51:07.0899706] Clicked object WorldObject{x=3106, y=3479, height=0, id=13287, type=10, face=2} option 1
[ClickObjectLog] [2021-08-17T12:53:53.6216263] Clicked object WorldObject{x=3099, y=3495, height=0, id=10061, type=0, face=0} option 1
[ClickObjectLog] [2021-08-17T12:54:11.6455586] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-08-23T23:56:41.4090609] Clicked object WorldObject{x=3100, y=3468, height=0, id=8356, type=10, face=2} option 1
[ClickObjectLog] [2021-08-23T23:58:39.9037691] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-08-23T23:58:42.915503] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-08-26T18:03:19.3169439] Clicked object WorldObject{x=3096, y=3497, height=0, id=10060, type=0, face=3} option 1
[ClickObjectLog] [2021-08-26T18:04:07.4001524] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-08-26T18:04:11.0109353] Clicked object WorldObject{x=3099, y=3494, height=0, id=10061, type=0, face=0} option 1
[ClickObjectLog] [2021-08-26T18:04:11.6154841] Clicked object WorldObject{x=3099, y=3494, height=0, id=10061, type=0, face=0} option 1
[ClickObjectLog] [2021-08-26T18:07:33.0803536] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-08-27T14:17:23.0530302] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-08-27T14:17:56.1312077] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-08-27T14:18:34.0189073] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-08-27T14:19:25.7702039] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-09-02T02:32:25.3451716] Clicked object WorldObject{x=3094, y=3495, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-09-02T02:32:26.5462771] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-09-02T02:32:27.1473293] Clicked object WorldObject{x=3094, y=3495, height=0, id=10061, type=0, face=2} option 1
