[ClickButtonLog] [2021-09-02T03:47:28.3380494] Clicked: 94242, new: false
[ClickButtonLog] [2021-09-02T03:47:30.1406865] Clicked: 9157, new: false
[ClickButtonLog] [2021-09-02T03:47:32.5458714] Clicked: 9157, new: false
[ClickButtonLog] [2021-09-02T03:47:33.7459615] Clicked: 9157, new: false
[ClickButtonLog] [2021-09-02T03:47:35.5516017] Clicked: 9157, new: false
[ClickObjectLog] [2021-09-02T03:47:37.9547848] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickButtonLog] [2021-09-02T03:47:40.9625168] Clicked: 9154, new: false
[CommandLog] [2021-09-02T04:04:58.630829] leviticus typed command leaderboard at X: 3094 Y:3489
[CommandLog] [2021-09-02T04:05:01.0380323] leviticus typed command leaderboards at X: 3094 Y:3489
[CommandLog] [2021-09-02T04:55:29.3517863] leviticus typed command leaderboards at X: 3094 Y:3489
[ClickButtonLog] [2021-09-02T04:55:41.3762139] Clicked: 73153, new: false
[ClickButtonLog] [2021-09-02T04:55:41.9767591] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T04:55:42.5773046] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T04:55:42.5773046] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T04:55:42.5773046] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T04:55:46.1835806] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T04:55:46.784126] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T04:55:47.3846715] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T04:55:47.3846715] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T04:56:20.4497068] Clicked: 73168, new: false
[ClickButtonLog] [2021-09-02T04:56:21.6517989] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T04:56:47.5072854] Clicked: 73168, new: false
[ClickButtonLog] [2021-09-02T04:56:48.7083762] Clicked: 73184, new: false
[ClickButtonLog] [2021-09-02T05:00:54.8790484] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T05:00:55.479594] Clicked: 73153, new: false
[ClickButtonLog] [2021-09-02T05:00:56.0801394] Clicked: 73157, new: false
[ClickButtonLog] [2021-09-02T05:00:56.0801394] Clicked: 73161, new: false
[ClickButtonLog] [2021-09-02T05:00:57.2822314] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T05:00:57.8827768] Clicked: 73153, new: false
[ClickButtonLog] [2021-09-02T05:00:59.083868] Clicked: 73157, new: false
[ClickButtonLog] [2021-09-02T05:00:59.083868] Clicked: 73161, new: false
[ClickButtonLog] [2021-09-02T05:01:46.050043] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T05:01:46.6525909] Clicked: 73153, new: false
[ClickButtonLog] [2021-09-02T05:01:47.2551377] Clicked: 73157, new: false
[ClickButtonLog] [2021-09-02T05:01:47.855683] Clicked: 73161, new: false
[CommandLog] [2021-09-02T05:05:11.396105] leviticus typed command interface 18830 at X: 3094 Y:3489
[ClickButtonLog] [2021-09-02T05:05:38.4596891] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T05:05:55.2889763] Clicked: 73168, new: false
[ClickButtonLog] [2021-09-02T05:05:56.4900672] Clicked: 73170, new: false
[ClickButtonLog] [2021-09-02T05:05:57.6931613] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T05:05:58.8942514] Clicked: 73153, new: false
[ClickButtonLog] [2021-09-02T05:05:59.4947968] Clicked: 73157, new: false
[CommandLog] [2021-09-02T05:06:55.3765675] leviticus typed command leaderboards at X: 3094 Y:3489
[ClickButtonLog] [2021-09-02T05:07:00.7874827] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T05:07:03.1876633] Clicked: 73153, new: false
[ClickButtonLog] [2021-09-02T05:07:03.7882087] Clicked: 73157, new: false
[ClickButtonLog] [2021-09-02T05:07:04.3887539] Clicked: 73161, new: false
[ClickButtonLog] [2021-09-02T05:09:34.1117844] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T05:09:36.5199719] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T05:09:37.1205174] Clicked: 73153, new: false
[ClickButtonLog] [2021-09-02T05:09:37.7210629] Clicked: 73157, new: false
[ClickButtonLog] [2021-09-02T05:09:38.3216084] Clicked: 73161, new: false
[ClickButtonLog] [2021-09-02T05:09:38.9221541] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T05:10:01.1813737] Clicked: 73149, new: false
[CommandLog] [2021-09-02T05:10:26.4077939] leviticus typed command leaderboards at X: 3094 Y:3489
[ClickButtonLog] [2021-09-02T05:10:27.6098865] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T05:10:28.2094305] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T05:10:28.8129786] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T05:10:29.4215315] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T05:10:31.2241688] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T05:10:33.0318112] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-02T05:10:43.854147] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T05:10:44.457695] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T05:10:44.457695] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T05:10:47.4634254] Clicked: 73149, new: false
[ClickButtonLog] [2021-09-02T05:11:07.3164592] Clicked: 73149, new: false
