[ClickButtonLog] [2021-09-09T12:24:28.7836291] Clicked: 9154, new: false
[ClickButtonLog] [2021-09-09T12:25:41.4886722] Clicked: 75010, new: false
[ClickButtonLog] [2021-09-09T12:27:33.8392435] Clicked: 39731, new: true
[ClickButtonLog] [2021-09-09T12:36:07.4984273] Clicked: 75010, new: false
[ClickButtonLog] [2021-09-09T12:47:25.9245322] Clicked: 75010, new: false
[ClickButtonLog] [2021-09-09T12:54:10.3310151] Clicked: 75010, new: false
[ClickButtonLog] [2021-09-09T12:55:42.2525264] Clicked: 75010, new: false
[ClickButtonLog] [2021-09-09T13:03:27.3765841] Clicked: 9154, new: false
[ClickButtonLog] [2021-09-09T13:11:55.6228137] Clicked: 226162, new: false
[ClickButtonLog] [2021-09-09T14:15:20.9888607] Clicked: 75010, new: false
[ClickButtonLog] [2021-09-09T14:18:52.4294617] Clicked: 226162, new: false
[ClickButtonLog] [2021-09-09T14:24:30.6392808] Clicked: 9154, new: false
[ClickButtonLog] [2021-09-09T14:26:10.3513787] Clicked: 75010, new: false
[ClickButtonLog] [2021-09-09T15:12:32.6307815] Clicked: 75010, new: false
[ClickButtonLog] [2021-09-09T15:59:09.9743425] Clicked: 9154, new: false
[ClickButtonLog] [2021-09-09T16:07:58.2009428] Clicked: 4140, new: false
[ClickButtonLog] [2021-09-09T16:08:00.6031248] Clicked: 39711, new: true
[ClickButtonLog] [2021-09-09T16:08:06.6105822] Clicked: 44806, new: true
[ClickButtonLog] [2021-09-09T16:12:36.3721582] Clicked: 75010, new: false
[ClickButtonLog] [2021-09-10T04:12:37.7237855] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-10T04:12:38.3243311] Clicked: 73168, new: false
[ClickButtonLog] [2021-09-10T04:12:39.5284247] Clicked: 73170, new: false
[ClickButtonLog] [2021-09-10T04:12:40.131973] Clicked: 73178, new: false
[ClickButtonLog] [2021-09-10T04:12:40.7345205] Clicked: 73180, new: false
[ClickButtonLog] [2021-09-10T04:12:41.335066] Clicked: 73182, new: false
[ClickButtonLog] [2021-09-10T04:12:41.335066] Clicked: 73184, new: false
[ClickButtonLog] [2021-09-10T04:12:43.1427079] Clicked: 73166, new: false
[ClickButtonLog] [2021-09-10T04:12:43.7432533] Clicked: 73170, new: false
