[ClickButtonLog] [2021-11-16T22:10:38.5693237] Clicked: 94242, new: false
[ClickButtonLog] [2021-11-16T22:10:40.374338] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:10:41.5783486] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:10:41.5803464] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:10:42.7803556] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:10:42.7883546] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:11:08.0595673] Clicked: 22942, new: true
[ClickButtonLog] [2021-11-16T22:11:09.8995829] Clicked: 22940, new: true
[ClickButtonLog] [2021-11-16T22:11:15.3846301] Clicked: 22940, new: true
[ClickButtonLog] [2021-11-16T22:11:24.4667046] Clicked: 22950, new: true
[ClickButtonLog] [2021-11-16T22:11:25.6687187] Clicked: 22940, new: true
[ClickButtonLog] [2021-11-16T22:12:31.1521865] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:12:39.6970552] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:12:51.1291504] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:13:09.8823123] Clicked: 13092, new: false
[ClickButtonLog] [2021-11-16T22:13:12.8933394] Clicked: 13218, new: false
[ClickButtonLog] [2021-11-16T22:13:16.501366] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:13:16.5023686] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:13:20.7124042] Clicked: 50419, new: true
[ClickButtonLog] [2021-11-16T22:13:21.3134061] Clicked: 50417, new: true
[ClickButtonLog] [2021-11-16T22:13:35.7505306] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:13:35.7505306] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:13:39.3585651] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-16T22:13:46.5836269] Clicked: 51908, new: true
[ClickButtonLog] [2021-11-16T22:13:46.5836269] Clicked: 51908, new: true
[ClickButtonLog] [2021-11-16T22:13:58.6127202] Clicked: 13092, new: false
[ClickButtonLog] [2021-11-16T22:14:01.0197397] Clicked: 13218, new: false
[ClickButtonLog] [2021-11-16T22:14:07.0377956] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:14:07.0377956] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:14:30.4949915] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:14:30.4949915] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:14:34.1000221] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-16T22:14:43.7220997] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:14:45.5271164] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-16T22:14:53.3521737] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:14:53.3531767] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-16T22:14:55.7612036] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-16T22:15:00.576236] Clicked: 9157, new: false
