[ClickButtonLog] [2021-12-08T20:22:23.403495] Clicked: 94242, new: false
[ClickButtonLog] [2021-12-08T20:22:25.8045173] Clicked: 9157, new: false
[ClickButtonLog] [2021-12-08T20:22:28.216535] Clicked: 9157, new: false
[ClickButtonLog] [2021-12-08T20:22:30.0145514] Clicked: 9158, new: false
[ClickButtonLog] [2021-12-08T20:22:30.0155552] Clicked: 9157, new: false
[ClickButtonLog] [2021-12-08T20:22:33.0225769] Clicked: 9157, new: false
[ClickButtonLog] [2021-12-08T20:22:35.4305949] Clicked: 9157, new: false
[ClickButtonLog] [2021-12-08T20:22:37.8386106] Clicked: 9154, new: false
[ClickButtonLog] [2021-12-08T20:26:39.9339245] Clicked: 13092, new: false
[ClickButtonLog] [2021-12-08T20:26:41.1378043] Clicked: 13218, new: false
[ClickButtonLog] [2021-12-08T20:27:41.2842844] Clicked: 13092, new: false
[ClickButtonLog] [2021-12-08T20:27:43.0910596] Clicked: 13218, new: false
[ClickButtonLog] [2021-12-08T20:28:22.2003413] Clicked: 83158, new: false
[ClickButtonLog] [2021-12-08T20:28:30.0245221] Clicked: 30374, new: true
[ClickButtonLog] [2021-12-08T20:28:37.2455316] Clicked: 30374, new: true
[ClickButtonLog] [2021-12-08T20:28:43.8595061] Clicked: 9157, new: false
[ClickButtonLog] [2021-12-08T23:23:29.1670088] Clicked: 11012, new: false
[ClickButtonLog] [2021-12-08T23:23:30.9729231] Clicked: 11015, new: false
[ClickButtonLog] [2021-12-09T12:13:08.4976298] Clicked: 33216, new: false
[ClickButtonLog] [2021-12-09T13:56:09.1966615] Clicked: 75010, new: false
[ClickButtonLog] [2021-12-09T13:56:12.2074237] Clicked: 75010, new: false
[ClickButtonLog] [2021-12-09T13:56:21.2286872] Clicked: 1017, new: false
[ClickButtonLog] [2021-12-09T13:56:25.439351] Clicked: 250002, new: false
[ClickButtonLog] [2021-12-09T13:57:17.1746492] Clicked: 250002, new: false
[ClickButtonLog] [2021-12-09T13:59:45.1496624] Clicked: 250002, new: false
[ClickButtonLog] [2021-12-09T13:59:52.3724374] Clicked: 250002, new: false
[ClickButtonLog] [2021-12-09T14:00:03.1931544] Clicked: 226162, new: false
[ClickButtonLog] [2021-12-09T14:00:59.7430458] Clicked: 226162, new: false
[ClickButtonLog] [2021-12-09T14:01:33.4404895] Clicked: 226162, new: false
[ClickButtonLog] [2021-12-10T15:31:08.785745] Clicked: 34038, new: false
[ClickButtonLog] [2021-12-21T10:39:28.4927051] Clicked: 75010, new: false
[ClickButtonLog] [2022-01-20T12:07:08.2954413] Clicked: 34038, new: false
[ClickButtonLog] [2022-01-26T16:40:56.8520445] Clicked: 34038, new: false
