[ClickObjectLog] [2021-12-09T12:15:38.2569404] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-12-09T13:56:18.8236653] Clicked object WorldObject{x=3079, y=3509, height=0, id=31622, type=10, face=3} option 1
[ClickObjectLog] [2021-12-09T13:59:59.586304] Clicked object WorldObject{x=3813, y=2847, height=0, id=24347, type=10, face=2} option 2
[ClickObjectLog] [2021-12-09T14:00:08.6086109] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:30.2698174] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:33.8799425] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:34.4821953] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:36.8887245] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:36.8887245] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:37.4888471] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:37.4888471] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:37.4888471] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:38.0920152] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:38.0920152] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:38.0920152] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:38.692212] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:38.692212] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:39.2924078] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:39.2924078] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:39.2924078] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:39.8945889] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:39.8945889] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:40.49526] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:40.4961671] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:40.4961671] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:41.097313] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:41.097313] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:41.097313] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:41.6980857] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:41.6980857] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:42.3012564] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:42.3012564] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:42.3012564] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:42.9014358] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
[ClickObjectLog] [2021-12-09T14:00:42.9014358] Clicked object WorldObject{x=3815, y=2841, height=0, id=30107, type=10, face=1} option 1
