[ClickButtonLog] [2022-02-21T21:14:35.802434] Clicked: 94242, new: false
[ClickButtonLog] [2022-02-21T21:14:49.0385308] Clicked: 9157, new: false
[ClickButtonLog] [2022-02-21T21:14:50.8425466] Clicked: 9157, new: false
[ClickButtonLog] [2022-02-21T21:14:55.0535849] Clicked: 9157, new: false
[ClickButtonLog] [2022-02-21T21:15:19.7228002] Clicked: 9154, new: false
[ClickButtonLog] [2022-02-21T21:17:11.6067592] Clicked: 22230, new: false
[ClickButtonLog] [2022-02-21T21:17:12.810774] Clicked: 89061, new: false
[ClickButtonLog] [2022-02-21T21:17:15.2137891] Clicked: 9154, new: false
[ClickButtonLog] [2022-02-21T21:18:18.3653314] Clicked: 47002, new: false
[ClickButtonLog] [2022-02-21T21:18:20.1703465] Clicked: 47002, new: false
[ClickButtonLog] [2022-02-21T21:18:20.773352] Clicked: 11015, new: false
[ClickButtonLog] [2022-02-21T21:18:55.6696548] Clicked: 250002, new: false
[ClickButtonLog] [2022-02-21T21:19:31.7489681] Clicked: 13092, new: false
[ClickButtonLog] [2022-02-21T21:19:32.3509748] Clicked: 13218, new: false
[ClickButtonLog] [2022-02-21T21:19:34.756993] Clicked: 13218, new: false
[ClickButtonLog] [2022-02-21T21:20:01.8252313] Clicked: 94047, new: false
[ClickButtonLog] [2022-02-21T21:37:41.8863438] Clicked: 9157, new: false
[ClickButtonLog] [2022-02-21T21:40:23.1182393] Clicked: 39964, new: true
[ClickButtonLog] [2022-02-21T21:42:15.6272092] Clicked: 13092, new: false
[ClickButtonLog] [2022-02-21T21:42:16.2232127] Clicked: 13218, new: false
[ClickButtonLog] [2022-02-21T21:42:18.0272292] Clicked: 13218, new: false
[ClickButtonLog] [2022-02-21T21:42:49.2994949] Clicked: 23721, new: true
[ClickButtonLog] [2022-02-21T21:42:50.5045064] Clicked: 23721, new: true
[ClickButtonLog] [2022-02-21T21:42:50.5045064] Clicked: 23721, new: true
[ClickButtonLog] [2022-02-21T21:43:04.3436249] Clicked: 47002, new: false
[ClickButtonLog] [2022-02-21T21:43:06.1516386] Clicked: 11015, new: false
[ClickButtonLog] [2022-02-21T21:47:14.5887746] Clicked: 130131, new: false
[ClickButtonLog] [2022-02-21T21:47:20.0018226] Clicked: 250002, new: false
[ClickButtonLog] [2022-02-21T21:47:27.225885] Clicked: 130131, new: false
[ClickButtonLog] [2022-02-21T21:47:37.4529716] Clicked: 250002, new: false
[ClickButtonLog] [2022-02-21T21:48:55.6566455] Clicked: 2173, new: false
[ClickButtonLog] [2022-02-21T21:48:56.8616598] Clicked: 2173, new: false
[ClickButtonLog] [2022-02-21T21:48:58.0616657] Clicked: 153239, new: false
[ClickButtonLog] [2022-02-21T21:48:58.6636705] Clicked: 153239, new: false
[ClickButtonLog] [2022-02-21T21:48:59.2656762] Clicked: 153236, new: false
[ClickButtonLog] [2022-02-21T21:48:59.8686842] Clicked: 153236, new: false
[ClickButtonLog] [2022-02-21T21:48:59.8686842] Clicked: 77115, new: false
[ClickButtonLog] [2022-02-21T21:49:01.0716928] Clicked: 77115, new: false
[ClickButtonLog] [2022-02-21T21:49:02.2747024] Clicked: 77109, new: false
[ClickButtonLog] [2022-02-21T21:49:03.4797143] Clicked: 21247, new: false
[ClickButtonLog] [2022-02-21T21:49:04.0787177] Clicked: 2173, new: false
[ClickButtonLog] [2022-02-21T21:49:05.2867358] Clicked: 21247, new: false
[ClickButtonLog] [2022-02-21T21:49:05.8857347] Clicked: 2173, new: false
[ClickButtonLog] [2022-02-21T21:49:07.087742] Clicked: 2173, new: false
[ClickButtonLog] [2022-02-21T21:49:08.8897595] Clicked: 77109, new: false
[ClickButtonLog] [2022-02-21T21:49:09.4927652] Clicked: 2173, new: false
