[ClickButtonLog] [2021-11-14T20:07:14.1540705] Clicked: 94242, new: false
[ClickButtonLog] [2021-11-14T20:07:15.9600923] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-14T20:07:17.7650971] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-14T20:07:19.5721101] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-14T20:15:39.9322642] Clicked: 94242, new: false
[ClickButtonLog] [2021-11-14T20:15:42.9412892] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-14T20:15:45.9473165] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-14T20:15:47.7523268] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-14T20:15:51.9653626] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T20:20:53.2768707] Clicked: 73167, new: false
[ClickButtonLog] [2021-11-14T20:20:55.0758812] Clicked: 73171, new: false
[ClickButtonLog] [2021-11-14T20:20:56.2818922] Clicked: 73173, new: false
[ClickButtonLog] [2021-11-14T20:20:56.8838979] Clicked: 73173, new: false
[ClickButtonLog] [2021-11-14T20:20:57.4859007] Clicked: 73175, new: false
[ClickButtonLog] [2021-11-14T20:20:58.1089077] Clicked: 73157, new: false
[ClickButtonLog] [2021-11-14T20:20:58.689912] Clicked: 73151, new: false
[ClickButtonLog] [2021-11-14T20:20:59.8879196] Clicked: 73153, new: false
[ClickButtonLog] [2021-11-14T20:21:00.4929327] Clicked: 73155, new: false
[ClickButtonLog] [2021-11-14T20:21:01.6929395] Clicked: 73151, new: false
[ClickButtonLog] [2021-11-14T20:21:02.2949409] Clicked: 73149, new: false
[ClickButtonLog] [2021-11-14T20:26:16.3605465] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T20:27:31.675094] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T20:30:28.0883864] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T20:35:37.342144] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T20:45:30.1123638] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T20:46:10.7209958] Clicked: 226162, new: false
[ClickButtonLog] [2021-11-14T20:46:16.1390767] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T20:46:16.1400768] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T20:57:25.7673483] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T20:57:25.7673483] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T22:19:26.6131437] Clicked: 22940, new: true
[ClickButtonLog] [2021-11-14T22:19:46.0701286] Clicked: 22946, new: true
[ClickButtonLog] [2021-11-14T22:19:47.8887928] Clicked: 22950, new: true
[ClickButtonLog] [2021-11-14T22:19:48.4986715] Clicked: 22940, new: true
[ClickButtonLog] [2021-11-14T22:20:02.3945619] Clicked: 22942, new: true
[ClickButtonLog] [2021-11-14T22:20:03.0040574] Clicked: 22946, new: true
[ClickButtonLog] [2021-11-14T22:22:10.8075461] Clicked: 9157, new: false
[ClickButtonLog] [2021-11-14T22:22:21.7178143] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T22:57:11.2974801] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T22:57:17.3295274] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T22:57:23.3485789] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T23:02:07.8529761] Clicked: 23721, new: true
[ClickButtonLog] [2021-11-14T23:31:02.0672932] Clicked: 94100, new: false
[ClickButtonLog] [2021-11-14T23:31:02.6652965] Clicked: 94112, new: false
[ClickButtonLog] [2021-11-14T23:31:02.6652965] Clicked: 94112, new: false
[ClickButtonLog] [2021-11-14T23:31:07.4793403] Clicked: 94118, new: false
[ClickButtonLog] [2021-11-14T23:31:07.4793403] Clicked: 94118, new: false
[ClickButtonLog] [2021-11-14T23:31:08.0813464] Clicked: 94106, new: false
[ClickButtonLog] [2021-11-14T23:31:08.6823503] Clicked: 94133, new: false
[ClickButtonLog] [2021-11-14T23:31:08.6823503] Clicked: 94133, new: false
[ClickButtonLog] [2021-11-14T23:32:19.2670429] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-14T23:44:04.3909658] Clicked: 73167, new: false
[ClickButtonLog] [2021-11-14T23:44:08.0009984] Clicked: 73157, new: false
[ClickButtonLog] [2021-11-14T23:45:39.4307653] Clicked: 73167, new: false
[ClickButtonLog] [2021-11-14T23:46:31.1512002] Clicked: 22946, new: true
[ClickButtonLog] [2021-11-14T23:46:32.3522186] Clicked: 22950, new: true
[ClickButtonLog] [2021-11-14T23:46:32.9532192] Clicked: 22946, new: true
[ClickButtonLog] [2021-11-14T23:46:33.5592211] Clicked: 22942, new: true
[ClickButtonLog] [2021-11-14T23:46:46.1843344] Clicked: 22940, new: true
[ClickButtonLog] [2021-11-14T23:47:18.6996069] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-15T00:24:18.0550987] Clicked: 195076, new: false
[ClickButtonLog] [2021-11-15T00:24:19.8847018] Clicked: 250002, new: false
[ClickButtonLog] [2021-11-15T00:24:25.9503106] Clicked: 130131, new: false
[ClickButtonLog] [2021-11-15T00:26:02.3777182] Clicked: 166028, new: false
[ClickButtonLog] [2021-11-15T00:26:49.8991197] Clicked: 23344, new: true
[ClickButtonLog] [2021-11-15T00:27:10.9482955] Clicked: 250002, new: false
[ClickButtonLog] [2021-11-15T00:28:15.9368397] Clicked: 166009, new: false
[ClickButtonLog] [2021-11-15T00:28:17.141859] Clicked: 166006, new: false
[ClickButtonLog] [2021-11-15T00:28:36.9920192] Clicked: 22946, new: true
[ClickButtonLog] [2021-11-15T00:28:37.5920366] Clicked: 22950, new: true
[ClickButtonLog] [2021-11-15T00:34:28.9289749] Clicked: 250002, new: false
[ClickButtonLog] [2021-11-15T00:34:47.5781318] Clicked: 9178, new: false
[ClickButtonLog] [2021-11-15T00:34:56.0002033] Clicked: 9178, new: false
[ClickButtonLog] [2021-11-15T00:35:18.8733918] Clicked: 183156, new: false
[ClickButtonLog] [2021-11-15T00:35:34.5105233] Clicked: 183155, new: false
[ClickButtonLog] [2021-11-15T00:35:37.5175495] Clicked: 11011, new: false
[ClickButtonLog] [2021-11-15T00:35:37.5175495] Clicked: 11015, new: false
[ClickButtonLog] [2021-11-15T00:36:10.6008288] Clicked: 14067, new: false
[ClickButtonLog] [2021-11-15T01:15:19.4305982] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-15T01:15:19.5966013] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-15T01:47:33.7754252] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-15T21:35:18.3508654] Clicked: 22946, new: true
[ClickButtonLog] [2021-11-15T21:35:18.351867] Clicked: 22946, new: true
[ClickButtonLog] [2021-11-15T21:35:18.9528724] Clicked: 22950, new: true
[ClickButtonLog] [2021-11-15T21:35:20.7568861] Clicked: 22942, new: true
[ClickButtonLog] [2021-11-15T21:37:01.973824] Clicked: 50419, new: true
[ClickButtonLog] [2021-11-15T21:37:03.1784965] Clicked: 50421, new: true
[ClickButtonLog] [2021-11-15T21:37:04.445929] Clicked: 50423, new: true
[ClickButtonLog] [2021-11-15T21:37:05.6492536] Clicked: 50423, new: true
[ClickButtonLog] [2021-11-15T21:37:06.2865399] Clicked: 50421, new: true
[ClickButtonLog] [2021-11-15T21:37:08.184658] Clicked: 24914, new: true
[ClickButtonLog] [2021-11-15T21:37:14.2497871] Clicked: 24953, new: true
[ClickButtonLog] [2021-11-15T21:37:21.5389377] Clicked: 25941, new: true
[ClickButtonLog] [2021-11-15T21:39:28.2997623] Clicked: 24501, new: true
[ClickButtonLog] [2021-11-15T21:39:29.5033974] Clicked: 50417, new: true
[ClickButtonLog] [2021-11-15T21:39:30.1160451] Clicked: 50417, new: true
[ClickButtonLog] [2021-11-15T21:39:30.1160451] Clicked: 50417, new: true
[ClickButtonLog] [2021-11-15T22:15:16.6243641] Clicked: 50419, new: true
[ClickButtonLog] [2021-11-15T22:15:18.4227694] Clicked: 50421, new: true
[ClickButtonLog] [2021-11-15T22:15:22.0390124] Clicked: 24503, new: true
[ClickButtonLog] [2021-11-15T22:15:45.7564006] Clicked: 50417, new: true
[ClickButtonLog] [2021-11-15T22:28:40.2678405] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-15T22:28:40.3275151] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-15T22:28:40.3275151] Clicked: 9154, new: false
[ClickButtonLog] [2021-11-15T22:48:49.6303914] Clicked: 44818, new: true
[ClickButtonLog] [2021-11-15T22:48:57.5375758] Clicked: 75010, new: false
[ClickButtonLog] [2021-11-15T22:51:56.4493473] Clicked: 94133, new: false
[ClickButtonLog] [2021-11-15T22:51:59.470263] Clicked: 94065, new: false
[ClickButtonLog] [2021-11-15T22:59:26.3905188] Clicked: 94112, new: false
[ClickButtonLog] [2021-11-15T22:59:27.6745271] Clicked: 94100, new: false
[ClickButtonLog] [2021-11-15T22:59:28.2765332] Clicked: 94106, new: false
[ClickButtonLog] [2021-11-15T22:59:28.8785393] Clicked: 94106, new: false
[ClickButtonLog] [2021-11-15T22:59:28.8785393] Clicked: 94106, new: false
[ClickButtonLog] [2021-11-15T22:59:28.8785393] Clicked: 94106, new: false
[ClickButtonLog] [2021-11-15T22:59:29.4785438] Clicked: 94118, new: false
[ClickButtonLog] [2021-11-15T22:59:29.4785438] Clicked: 94112, new: false
[ClickButtonLog] [2021-11-15T22:59:30.0795457] Clicked: 94100, new: false
[ClickButtonLog] [2021-11-15T22:59:30.0795457] Clicked: 94106, new: false
[ClickButtonLog] [2021-11-15T22:59:30.0805486] Clicked: 94106, new: false
[ClickButtonLog] [2021-11-15T22:59:30.6815539] Clicked: 94106, new: false
[ClickButtonLog] [2021-11-15T22:59:30.6815539] Clicked: 94106, new: false
[ClickButtonLog] [2021-11-15T22:59:30.6815539] Clicked: 94106, new: false
[ClickButtonLog] [2021-11-15T22:59:31.2815586] Clicked: 94100, new: false
[ClickButtonLog] [2021-11-15T22:59:31.2815586] Clicked: 94100, new: false
[ClickButtonLog] [2021-11-15T22:59:31.8855634] Clicked: 94118, new: false
[ClickButtonLog] [2021-11-15T22:59:31.8855634] Clicked: 94118, new: false
[ClickButtonLog] [2021-11-15T22:59:31.8855634] Clicked: 94118, new: false
[ClickButtonLog] [2021-11-15T22:59:32.4845688] Clicked: 94118, new: false
[ClickButtonLog] [2021-11-15T22:59:33.6885814] Clicked: 94100, new: false
[ClickButtonLog] [2021-11-15T23:15:24.4714891] Clicked: 9157, new: false
