[ClickObjectLog] [2021-11-14T20:20:49.0658335] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-14T20:21:19.7420865] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-14T20:55:35.5306117] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-14T22:19:13.8868173] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-14T22:19:35.740698] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-14T22:19:55.1368151] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-14T22:20:05.4366054] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-14T22:20:12.6949973] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-14T22:20:17.5462582] Clicked object WorldObject{x=3079, y=3509, height=0, id=31622, type=10, face=3} option 2
[ClickObjectLog] [2021-11-14T22:20:18.7652553] Clicked object WorldObject{x=3079, y=3509, height=0, id=31622, type=10, face=3} option 1
[ClickObjectLog] [2021-11-14T23:43:42.7487882] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-14T23:46:23.9361414] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T00:10:49.1650235] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T00:24:21.0818659] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-15T00:24:24.1214626] Clicked object WorldObject{x=3074, y=3495, height=0, id=33320, type=10, face=1} option 1
[ClickObjectLog] [2021-11-15T00:25:37.1145075] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T00:28:31.5799739] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T00:28:48.4221153] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-15T01:10:10.895008] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T01:45:01.9681624] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-15T01:45:09.1902226] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T01:45:09.191222] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T01:45:16.4102811] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T21:35:15.9488465] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T22:48:44.7737366] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T23:09:06.0623334] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-15T23:15:13.641399] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T23:16:02.9788129] Clicked object WorldObject{x=3091, y=3505, height=0, id=30720, type=10, face=0} option 1
[ClickObjectLog] [2021-11-15T23:16:06.5908376] Clicked object WorldObject{x=3094, y=3505, height=0, id=2996, type=10, face=2} option 1
[ClickObjectLog] [2021-11-15T23:16:07.7898548] Clicked object WorldObject{x=3094, y=3505, height=0, id=2996, type=10, face=2} option 1
[ClickObjectLog] [2021-11-15T23:16:37.8690974] Clicked object WorldObject{x=3094, y=3505, height=0, id=2996, type=10, face=2} option 1
[ClickObjectLog] [2021-11-15T23:16:40.8781254] Clicked object WorldObject{x=3094, y=3505, height=0, id=2996, type=10, face=2} option 1
[ClickObjectLog] [2021-11-15T23:16:45.0901553] Clicked object WorldObject{x=3094, y=3505, height=0, id=2996, type=10, face=2} option 1
[ClickObjectLog] [2021-11-15T23:16:47.4961735] Clicked object WorldObject{x=3094, y=3505, height=0, id=2996, type=10, face=2} option 1
[ClickObjectLog] [2021-11-15T23:16:48.0971895] Clicked object WorldObject{x=3094, y=3505, height=0, id=2996, type=10, face=2} option 1
[ClickObjectLog] [2021-11-15T23:17:44.6802437] Clicked object WorldObject{x=3099, y=3505, height=0, id=172, type=10, face=2} option 1
[ClickObjectLog] [2021-11-15T23:17:46.4853656] Clicked object WorldObject{x=3101, y=3505, height=0, id=34660, type=10, face=2} option 1
[ClickObjectLog] [2021-11-15T23:30:33.8940193] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-16T21:14:17.6312505] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-16T21:19:16.1337197] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-16T21:20:22.3222982] Clicked object WorldObject{x=3101, y=3505, height=0, id=34660, type=10, face=2} option 2
[ClickObjectLog] [2021-11-16T21:21:36.3159136] Clicked object WorldObject{x=1311, y=3807, height=0, id=34359, type=22, face=3} option 1
[ClickObjectLog] [2021-11-16T21:21:57.3750864] Clicked object WorldObject{x=1311, y=10215, height=0, id=34544, type=10, face=0} option 1
[ClickObjectLog] [2021-11-16T21:22:10.6071953] Clicked object WorldObject{x=1330, y=10205, height=0, id=34530, type=10, face=3} option 1
[ClickObjectLog] [2021-11-16T21:42:43.6711965] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-16T21:57:08.5848162] Clicked object WorldObject{x=3077, y=3502, height=0, id=10042, type=10, face=2} option 1
[ClickObjectLog] [2021-11-16T21:57:15.8028716] Clicked object WorldObject{x=2547, y=9951, height=0, id=17385, type=10, face=1} option 1
[ClickObjectLog] [2021-11-16T21:57:33.8460098] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-16T22:08:36.5428906] Clicked object WorldObject{x=3094, y=3495, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-16T22:25:55.0287401] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-16T22:26:05.859825] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-16T22:26:24.506984] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-16T22:26:59.3962765] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-17T19:50:10.2159756] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-17T23:01:47.0129572] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-17T23:02:33.403847] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-17T23:04:07.8964523] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-19T22:13:44.5262407] Clicked object WorldObject{x=3097, y=3485, height=0, id=23709, type=10, face=0} option 1
[ClickObjectLog] [2021-11-19T22:14:12.4285805] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-19T22:19:14.2918249] Clicked object WorldObject{x=3093, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:19:54.6071605] Clicked object WorldObject{x=3094, y=3495, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-19T22:20:18.0673559] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:20:37.9195264] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:21:15.2338253] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-19T22:21:24.8609043] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 2
[ClickObjectLog] [2021-11-19T22:22:14.7813238] Clicked object WorldObject{x=3096, y=3497, height=0, id=10060, type=0, face=3} option 1
[ClickObjectLog] [2021-11-19T22:23:06.5057602] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-19T22:25:32.0889573] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-19T22:27:18.5608411] Clicked object WorldObject{x=3097, y=3485, height=0, id=23709, type=10, face=0} option 1
[ClickObjectLog] [2021-11-19T22:27:20.9678647] Clicked object WorldObject{x=3102, y=3486, height=0, id=6097, type=10, face=0} option 1
[ClickObjectLog] [2021-11-19T22:27:36.009989] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
[ClickObjectLog] [2021-11-19T22:29:00.2216868] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2021-11-19T22:29:49.5561051] Clicked object WorldObject{x=3097, y=3485, height=0, id=23709, type=10, face=0} option 1
[ClickObjectLog] [2021-11-19T22:30:19.6333597] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:31:23.3908965] Clicked object WorldObject{x=3091, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:31:35.4179987] Clicked object WorldObject{x=3093, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:32:10.3133046] Clicked object WorldObject{x=3097, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-19T22:33:11.6838054] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 1
[ClickObjectLog] [2021-11-19T22:34:29.8774541] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:34:45.5255883] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:35:07.1847716] Clicked object WorldObject{x=3092, y=3480, height=0, id=25808, type=10, face=0} option 2
[ClickObjectLog] [2021-11-19T22:36:08.5522759] Clicked object WorldObject{x=3102, y=3508, height=0, id=10355, type=10, face=3} option 2
[ClickObjectLog] [2021-11-20T22:48:10.8474919] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2021-11-20T23:01:56.4043773] Clicked object WorldObject{x=3094, y=3494, height=0, id=10061, type=0, face=2} option 1
