[ClickButtonLog] [2022-01-19T20:10:39.9466757] Clicked: 94242, new: false
[ClickButtonLog] [2022-01-19T20:10:42.3526938] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:10:42.3536934] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:10:43.5577034] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:10:43.5577034] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:10:44.1587071] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:10:44.7587114] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:10:44.7597103] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:10:47.1667282] Clicked: 9154, new: false
[ClickButtonLog] [2022-01-19T20:12:43.3226199] Clicked: 50419, new: true
[ClickButtonLog] [2022-01-19T20:12:44.5266279] Clicked: 74107, new: false
[ClickButtonLog] [2022-01-19T20:12:47.5306485] Clicked: 90073, new: false
[ClickButtonLog] [2022-01-19T20:12:48.1326548] Clicked: 74112, new: false
[ClickButtonLog] [2022-01-19T20:12:51.1406793] Clicked: 74117, new: false
[ClickButtonLog] [2022-01-19T20:12:53.5456935] Clicked: 154078, new: false
[ClickButtonLog] [2022-01-19T20:12:54.1456996] Clicked: 74122, new: false
[ClickButtonLog] [2022-01-19T20:12:56.5557276] Clicked: 175247, new: false
[ClickButtonLog] [2022-01-19T20:12:57.7537311] Clicked: 175250, new: false
[ClickButtonLog] [2022-01-19T20:12:58.9567409] Clicked: 175253, new: false
[ClickButtonLog] [2022-01-19T20:12:59.5587441] Clicked: 175238, new: false
[ClickButtonLog] [2022-01-19T20:13:02.564768] Clicked: 50421, new: true
[ClickButtonLog] [2022-01-19T20:13:19.4109012] Clicked: 50423, new: true
[ClickButtonLog] [2022-01-19T20:14:21.9774022] Clicked: 13092, new: false
[ClickButtonLog] [2022-01-19T20:14:23.7814165] Clicked: 13218, new: false
[ClickButtonLog] [2022-01-19T20:15:31.7629677] Clicked: 39711, new: true
[ClickButtonLog] [2022-01-19T20:15:34.1709872] Clicked: 44818, new: true
[ClickButtonLog] [2022-01-19T20:15:55.9201699] Clicked: 83158, new: false
[ClickButtonLog] [2022-01-19T20:16:10.3532828] Clicked: 30374, new: true
[ClickButtonLog] [2022-01-19T20:16:19.9803731] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:20:43.4822874] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:20:45.2862918] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:20:47.0903066] Clicked: 9158, new: false
[ClickButtonLog] [2022-01-19T20:21:03.3404138] Clicked: 39726, new: true
[ClickButtonLog] [2022-01-19T20:21:05.1474279] Clicked: 44742, new: true
[ClickButtonLog] [2022-01-19T20:21:17.1735086] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:22:05.2908491] Clicked: 152, new: false
[ClickButtonLog] [2022-01-19T20:22:25.1429917] Clicked: 152, new: false
[ClickButtonLog] [2022-01-19T20:27:50.5765329] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:27:50.5805313] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:28:47.1329935] Clicked: 50417, new: true
[ClickButtonLog] [2022-01-19T20:28:52.5440415] Clicked: 39964, new: true
[ClickButtonLog] [2022-01-19T20:29:22.6212881] Clicked: 75010, new: false
[ClickButtonLog] [2022-01-19T20:29:27.4513284] Clicked: 75010, new: false
[ClickButtonLog] [2022-01-19T20:30:10.7456898] Clicked: 130133, new: false
[ClickButtonLog] [2022-01-19T20:30:12.5526996] Clicked: 9157, new: false
[ClickButtonLog] [2022-01-19T20:30:19.1657552] Clicked: 50421, new: true
[ClickButtonLog] [2022-01-19T20:30:31.8048601] Clicked: 25005, new: true
[ClickButtonLog] [2022-01-19T20:31:48.8075088] Clicked: 50417, new: true
[ClickButtonLog] [2022-01-19T20:35:19.9483069] Clicked: 9154, new: false
[ClickButtonLog] [2022-02-03T23:43:05.7773333] Clicked: 50419, new: true
[ClickButtonLog] [2022-02-03T23:43:06.9783319] Clicked: 50421, new: true
[ClickButtonLog] [2022-02-03T23:43:07.5856439] Clicked: 50423, new: true
[ClickButtonLog] [2022-02-03T23:43:08.1871945] Clicked: 50421, new: true
[ClickButtonLog] [2022-02-03T23:43:09.393314] Clicked: 50417, new: true
[ClickButtonLog] [2022-02-03T23:44:23.1729395] Clicked: 75010, new: false
[ClickButtonLog] [2022-02-03T23:44:34.6781807] Clicked: 59229, new: false
[ClickButtonLog] [2022-02-03T23:44:39.5283111] Clicked: 250002, new: false
[ClickButtonLog] [2022-02-03T23:44:45.5664443] Clicked: 50419, new: true
[ClickButtonLog] [2022-02-03T23:44:51.5922044] Clicked: 50421, new: true
[ClickButtonLog] [2022-02-03T23:44:56.423492] Clicked: 50423, new: true
[ClickButtonLog] [2022-02-03T23:44:57.6264289] Clicked: 50617, new: true
[ClickButtonLog] [2022-02-03T23:44:58.8419379] Clicked: 50616, new: true
[ClickButtonLog] [2022-02-03T23:45:00.0571336] Clicked: 50615, new: true
[ClickButtonLog] [2022-02-03T23:45:09.1244361] Clicked: 39736, new: true
[ClickButtonLog] [2022-02-03T23:45:09.7254944] Clicked: 39731, new: true
[ClickButtonLog] [2022-02-03T23:45:10.9195581] Clicked: 39726, new: true
[ClickButtonLog] [2022-02-03T23:45:11.5319499] Clicked: 39721, new: true
[ClickButtonLog] [2022-02-03T23:45:12.1328934] Clicked: 39716, new: true
[ClickButtonLog] [2022-02-03T23:45:12.7554348] Clicked: 39711, new: true
[ClickButtonLog] [2022-02-03T23:45:13.356279] Clicked: 39706, new: true
[ClickButtonLog] [2022-02-03T23:49:52.9618124] Clicked: 50417, new: true
[ClickButtonLog] [2022-02-03T23:49:54.1673307] Clicked: 50419, new: true
[ClickButtonLog] [2022-02-03T23:49:54.1673307] Clicked: 50419, new: true
[ClickButtonLog] [2022-02-03T23:49:54.7761209] Clicked: 50421, new: true
[ClickButtonLog] [2022-02-03T23:49:56.5954175] Clicked: 24501, new: true
[ClickButtonLog] [2022-02-03T23:49:57.1965849] Clicked: 50423, new: true
[ClickButtonLog] [2022-02-03T23:49:58.4032428] Clicked: 50417, new: true
[ClickButtonLog] [2022-02-03T23:49:58.4032428] Clicked: 50417, new: true
[ClickButtonLog] [2022-02-03T23:50:03.8545783] Clicked: 50419, new: true
[ClickButtonLog] [2022-02-03T23:50:03.8545783] Clicked: 50419, new: true
[ClickButtonLog] [2022-02-03T23:50:06.8621834] Clicked: 74157, new: false
[ClickButtonLog] [2022-02-03T23:52:01.3441651] Clicked: 74142, new: false
[ClickButtonLog] [2022-02-03T23:52:05.5736253] Clicked: 209110, new: false
[ClickButtonLog] [2022-02-03T23:52:07.3878639] Clicked: 209004, new: false
[ClickButtonLog] [2022-02-03T23:52:43.7338246] Clicked: 74142, new: false
[ClickButtonLog] [2022-02-03T23:52:44.942322] Clicked: 209110, new: false
[ClickButtonLog] [2022-02-03T23:52:46.1555901] Clicked: 209004, new: false
[ClickButtonLog] [2022-02-03T23:52:50.3856783] Clicked: 74142, new: false
[ClickButtonLog] [2022-02-03T23:52:53.4274315] Clicked: 209046, new: false
[ClickButtonLog] [2022-02-03T23:52:54.0275096] Clicked: 209046, new: false
[ClickButtonLog] [2022-02-03T23:52:55.2263613] Clicked: 209004, new: false
[ClickButtonLog] [2022-02-03T23:53:47.265268] Clicked: 74137, new: false
[ClickButtonLog] [2022-02-04T00:04:57.2236836] Clicked: 74117, new: false
[ClickButtonLog] [2022-02-04T00:04:59.0467332] Clicked: 74127, new: false
[ClickButtonLog] [2022-02-04T00:05:00.2506091] Clicked: 74122, new: false
[ClickButtonLog] [2022-02-04T00:05:00.8613006] Clicked: 74132, new: false
[ClickButtonLog] [2022-02-04T00:05:05.0975521] Clicked: 84053, new: false
[ClickButtonLog] [2022-02-04T00:05:05.6994409] Clicked: 84055, new: false
[ClickButtonLog] [2022-02-04T00:05:06.3008222] Clicked: 84057, new: false
