[ClickObjectLog] [2022-01-19T20:15:28.1529376] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2022-01-19T20:21:00.9363985] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2022-01-19T20:21:18.3755171] Clicked object WorldObject{x=3678, y=3216, height=0, id=32653, type=10, face=1} option 1
[ClickObjectLog] [2022-01-19T20:21:23.7855557] Clicked object WorldObject{x=3678, y=3216, height=0, id=32653, type=10, face=1} option 1
[ClickObjectLog] [2022-01-19T20:21:40.6316706] Clicked object WorldObject{x=3185, y=4447, height=0, id=32755, type=10, face=1} option 1
[ClickObjectLog] [2022-01-19T20:21:56.8697855] Clicked object WorldObject{x=3185, y=4446, height=0, id=32755, type=10, face=1} option 1
[ClickObjectLog] [2022-01-19T20:22:08.904872] Clicked object WorldObject{x=3177, y=4422, height=0, id=33113, type=0, face=3} option 1
[ClickObjectLog] [2022-01-19T20:22:30.5580333] Clicked object WorldObject{x=3304, y=4446, height=0, id=32755, type=10, face=1} option 1
[ClickObjectLog] [2022-01-19T20:22:34.7690561] Clicked object WorldObject{x=3304, y=4446, height=0, id=32755, type=10, face=1} option 1
[ClickObjectLog] [2022-01-19T20:22:47.997158] Clicked object WorldObject{x=3287, y=4447, height=0, id=32755, type=10, face=3} option 1
[ClickObjectLog] [2022-01-19T20:22:52.8051894] Clicked object WorldObject{x=3269, y=4447, height=0, id=33113, type=0, face=0} option 1
[ClickObjectLog] [2022-01-19T20:22:53.4101944] Clicked object WorldObject{x=3269, y=4447, height=0, id=33113, type=0, face=0} option 1
[ClickObjectLog] [2022-01-19T20:23:01.8352626] Clicked object WorldObject{x=3295, y=4255, height=0, id=32755, type=10, face=0} option 1
[ClickObjectLog] [2022-01-19T20:23:01.8352626] Clicked object WorldObject{x=3295, y=4255, height=0, id=32755, type=10, face=0} option 1
[ClickObjectLog] [2022-01-19T20:23:06.0442967] Clicked object WorldObject{x=3296, y=4255, height=0, id=32755, type=10, face=0} option 1
[ClickObjectLog] [2022-01-19T20:23:07.2532987] Clicked object WorldObject{x=3296, y=4255, height=0, id=32755, type=10, face=0} option 1
[ClickObjectLog] [2022-01-19T20:23:20.4833982] Clicked object WorldObject{x=3303, y=4275, height=0, id=33113, type=0, face=2} option 1
[ClickObjectLog] [2022-01-19T20:23:44.5445777] Clicked object WorldObject{x=3279, y=4307, height=0, id=32755, type=10, face=2} option 1
[ClickObjectLog] [2022-01-19T20:23:46.9545958] Clicked object WorldObject{x=3279, y=4293, height=0, id=33113, type=0, face=3} option 1
[ClickObjectLog] [2022-01-19T20:23:49.3596133] Clicked object WorldObject{x=3170, y=4379, height=1, id=32755, type=10, face=2} option 1
[ClickObjectLog] [2022-01-19T20:24:04.9977343] Clicked object WorldObject{x=3169, y=4398, height=1, id=29069, type=10, face=1} option 1
[ClickObjectLog] [2022-01-19T20:24:39.8870021] Clicked object WorldObject{x=3167, y=4324, height=0, id=32738, type=10, face=0} option 1
[ClickObjectLog] [2022-01-19T20:24:46.5060529] Clicked object WorldObject{x=3226, y=4327, height=0, id=32990, type=10, face=3} option 1
[ClickObjectLog] [2022-01-19T20:27:07.86918] Clicked object WorldObject{x=3158, y=12426, height=0, id=678, type=10, face=3} option 1
[ClickObjectLog] [2022-01-19T20:27:33.1343861] Clicked object WorldObject{x=3158, y=12426, height=0, id=678, type=10, face=3} option 1
[ClickObjectLog] [2022-01-19T20:27:45.1644834] Clicked object WorldObject{x=3158, y=12426, height=0, id=678, type=10, face=3} option 1
[ClickObjectLog] [2022-01-19T20:28:39.9149307] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2022-01-19T20:29:37.6674137] Clicked object WorldObject{x=3091, y=3505, height=0, id=30720, type=10, face=0} option 1
[ClickObjectLog] [2022-01-19T20:29:40.0714333] Clicked object WorldObject{x=3091, y=3505, height=0, id=30720, type=10, face=0} option 1
[ClickObjectLog] [2022-01-19T20:29:55.1035643] Clicked object WorldObject{x=3077, y=3495, height=0, id=29064, type=10, face=3} option 1
[ClickObjectLog] [2022-01-19T20:30:03.5296391] Clicked object WorldObject{x=3074, y=3495, height=0, id=33320, type=10, face=1} option 1
[ClickObjectLog] [2022-01-19T20:31:42.7924586] Clicked object WorldObject{x=3068, y=3497, height=0, id=190, type=10, face=1} option 1
[ClickObjectLog] [2022-01-19T20:31:45.8004828] Clicked object WorldObject{x=3068, y=3497, height=0, id=190, type=10, face=1} option 1
[ClickObjectLog] [2022-01-19T20:32:01.4396238] Clicked object WorldObject{x=3079, y=3509, height=0, id=31622, type=10, face=3} option 1
[ClickObjectLog] [2022-01-19T20:32:04.4486557] Clicked object WorldObject{x=3079, y=3509, height=0, id=31622, type=10, face=3} option 1
[ClickObjectLog] [2022-01-19T20:32:06.2536528] Clicked object WorldObject{x=3079, y=3509, height=0, id=31622, type=10, face=3} option 2
[ClickObjectLog] [2022-01-19T20:32:12.2687107] Clicked object WorldObject{x=3079, y=3509, height=0, id=31622, type=10, face=3} option 3
[ClickObjectLog] [2022-01-19T20:32:14.6757248] Clicked object WorldObject{x=3079, y=3509, height=0, id=31622, type=10, face=3} option 1
[ClickObjectLog] [2022-02-03T23:45:04.3106946] Clicked object WorldObject{x=3086, y=3493, height=0, id=36062, type=10, face=0} option 1
[ClickObjectLog] [2022-02-03T23:45:23.0435077] Clicked object WorldObject{x=3033, y=6065, height=0, id=36201, type=10, face=0} option 1
[ClickObjectLog] [2022-02-03T23:45:29.6792209] Clicked object WorldObject{x=3046, y=6048, height=0, id=36195, type=10, face=2} option 1
[ClickObjectLog] [2022-02-03T23:46:05.4112573] Clicked object WorldObject{x=3307, y=5205, height=0, id=29789, type=10, face=1} option 1
[ClickObjectLog] [2022-02-03T23:46:06.0194703] Clicked object WorldObject{x=3307, y=5205, height=0, id=29789, type=10, face=1} option 1
[ClickObjectLog] [2022-02-03T23:46:17.5179343] Clicked object WorldObject{x=3308, y=5337, height=1, id=29789, type=10, face=3} option 1
[ClickObjectLog] [2022-02-03T23:46:30.2096013] Clicked object WorldObject{x=3311, y=5308, height=0, id=29789, type=10, face=3} option 1
[ClickObjectLog] [2022-02-03T23:47:23.4376498] Clicked object WorldObject{x=3311, y=5341, height=0, id=29789, type=10, face=1} option 1
[ClickObjectLog] [2022-02-03T23:47:31.932294] Clicked object WorldObject{x=3312, y=5365, height=0, id=29747, type=11, face=1} option 1
[ClickObjectLog] [2022-02-03T23:47:42.8162728] Clicked object WorldObject{x=3310, y=5370, height=0, id=29789, type=10, face=3} option 1
[ClickObjectLog] [2022-02-03T23:47:42.8162728] Clicked object WorldObject{x=3310, y=5370, height=0, id=29789, type=10, face=3} option 1
[ClickObjectLog] [2022-02-03T23:47:46.4548333] Clicked object WorldObject{x=3310, y=5383, height=0, id=29742, type=10, face=0} option 1
[ClickObjectLog] [2022-02-03T23:47:58.5714337] Clicked object WorldObject{x=3318, y=5400, height=0, id=29789, type=10, face=1} option 1
[ClickObjectLog] [2022-02-03T23:48:37.9705985] Clicked object WorldObject{x=3309, y=5274, height=1, id=29789, type=10, face=1} option 1
[ClickObjectLog] [2022-02-03T23:48:38.5744505] Clicked object WorldObject{x=3309, y=5274, height=1, id=29789, type=10, face=1} option 1
[ClickObjectLog] [2022-02-03T23:48:59.1239842] Clicked object WorldObject{x=3310, y=5306, height=1, id=29789, type=10, face=1} option 1
[ClickObjectLog] [2022-02-03T23:48:59.7209276] Clicked object WorldObject{x=3310, y=5306, height=1, id=29789, type=10, face=1} option 1
[ClickObjectLog] [2022-02-03T23:49:02.1555682] Clicked object WorldObject{x=3310, y=5306, height=1, id=29789, type=10, face=1} option 1
[ClickObjectLog] [2022-02-03T23:49:36.6478686] Clicked object WorldObject{x=3311, y=5276, height=0, id=29789, type=10, face=3} option 1
[ClickObjectLog] [2022-02-03T23:54:01.223657] Clicked object WorldObject{x=3298, y=5185, height=0, id=29778, type=10, face=0} option 1
[ClickObjectLog] [2022-02-03T23:54:03.6325964] Clicked object WorldObject{x=3298, y=5185, height=0, id=29778, type=10, face=0} option 1
[ClickObjectLog] [2022-02-03T23:54:07.8715029] Clicked object WorldObject{x=3298, y=5185, height=0, id=29778, type=10, face=0} option 1
[ClickObjectLog] [2022-02-03T23:58:55.2706352] Clicked object WorldObject{x=3298, y=5185, height=0, id=29778, type=10, face=0} option 1
[ClickObjectLog] [2022-02-03T23:58:57.7034551] Clicked object WorldObject{x=3298, y=5185, height=0, id=29778, type=10, face=0} option 1
[ClickObjectLog] [2022-02-03T23:58:59.5088688] Clicked object WorldObject{x=3298, y=5185, height=0, id=29778, type=10, face=0} option 1
[ClickObjectLog] [2022-02-03T23:59:06.7817316] Clicked object WorldObject{x=3035, y=6071, height=0, id=23709, type=10, face=2} option 1
[ClickObjectLog] [2022-02-03T23:59:07.388609] Clicked object WorldObject{x=3035, y=6071, height=0, id=23709, type=10, face=2} option 1
[ClickObjectLog] [2022-02-04T00:06:00.2353635] Clicked object WorldObject{x=3096, y=3492, height=0, id=10060, type=0, face=1} option 2
